observation_id,sso_name,ra_deg_1,dec_deg_1,ra_deg_2,dec_deg_2,filter,xmatch_type,v_mag_1,v_mag_1_corrected,mlim_obs,FITS_FILE,DECISION,dra_arcsec,ddec_arcsec,trail_len_arcsec,pa_deg_E_of_N,frame_t1,frame_t2,exposure_s,horizons_location,horizons_id_used,skybot_radius_arcmin,sep_start_arcsec_from_frame_center,sep_end_arcsec_from_frame_center
0611181501,Solvejg,83.671660000,21.989310000,83.673800000,21.989250000,L,2,16.762,17.7242,20.580872,P0611181501OMS007FSIMAGL000.FTZ,D,7.144,-0.216,7.147,91.732,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,Solvejg,10.000,154.909,159.633
0611181501,Solvejg,83.671660000,21.989310000,83.673800000,21.989250000,L,2,16.762,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,D,7.144,-0.216,7.147,91.732,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,Solvejg,10.000,154.909,159.633
0611181501,2019 TV58,83.599470000,22.089170000,83.606040000,22.092360000,L,2,23.155,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,21.916,11.484,24.742,62.345,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2019 TV58,10.000,278.696,278.287
0611181501,2005 WT118,83.545970000,21.944710000,83.553340000,21.944440000,L,2,20.432,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,24.610,-0.972,24.629,92.262,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2005 WT118,10.000,428.302,410.748
0611181501,2002 JD102,83.706560000,22.129470000,83.710900000,22.128840000,L,2,21.550,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,14.473,-2.268,14.650,98.906,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2002 JD102,10.000,438.865,444.128
0611181501,2007 YC67,83.635280000,22.151070000,83.643740000,22.149710000,L,2,21.910,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,28.208,-4.896,28.630,99.847,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2007 YC67,10.000,462.037,456.498
0611181501,2007 TM155,83.777380000,22.047840000,83.782040000,22.046150000,L,2,22.112,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,15.549,-6.084,16.697,111.369,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2007 TM155,10.000,458.424,472.571
0611181501,2005 LZ31,83.673220000,21.896330000,83.676750000,21.897840000,L,2,22.409,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,11.791,5.436,12.984,65.249,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2005 LZ31,10.000,466.965,464.408
0611181501,2016 GG154,83.743510000,22.116150000,83.750970000,22.117750000,L,2,22.341,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,24.880,5.760,25.538,76.965,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2016 GG154,10.000,475.256,497.125
0611181501,2014 NO8,83.654980000,22.155250000,83.655940000,22.155220000,L,2,24.552,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,3.201,-0.108,3.203,91.932,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2014 NO8,10.000,478.196,478.374
0611181501,2007 VK37,83.798060000,22.021070000,83.808240000,22.019540000,L,2,22.164,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,33.975,-5.508,34.418,99.209,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2007 VK37,10.000,518.653,552.721
0611181501,2020 HM59,83.780010000,21.945760000,83.784370000,21.946820000,L,2,24.113,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,14.559,3.816,15.050,75.312,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2020 HM59,10.000,536.053,546.630
0611181501,2015 YC27,83.532190000,22.139420000,83.539100000,22.138690000,L,2,22.719,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,23.042,-2.628,23.191,96.507,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2015 YC27,10.000,558.344,541.380
0611181501,2014 PH47,83.614980000,22.185950000,83.621090000,22.185880000,L,2,23.733,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,20.367,-0.252,20.369,90.709,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2014 PH47,10.000,594.167,591.092
0611181501,2010 SA66,83.537240000,22.157700000,83.539960000,22.157550000,L,2,23.780,17.7242,20.580872,P0611181501OMS006FSIMAGL000.FTZ,N,9.069,-0.540,9.085,93.408,2012-02-24T19:26:30.000,2012-02-24T20:49:50.000,5000.000,@XMM,2010 SA66,10.000,599.278,593.558
